Name_CH,Name_ML,Name_EN,Location,Longitude,Latitude,Region,Category,PageNumber,,
玻州加基武吉长江寮义务消防队,"Bomba Sukarela Pekan Sayur Kaki Bukit, Perlis",,"No.12, Pekan Sayur Kaki Bukit, Perlis.",100.2127371,6.6427383,Perlis,慈善福利,40,,
知知丁宜区小园主合作社,Koperasi Pekebun-Pekebun Kecil Mukim Titi Tinggi,,"115, Pekan Baru, 02200 Kaki Bukit Perlis.",100.208075,6.644254,Perlis,慈善福利,40,,
吉玻广西会馆,Perdatuan Kwang Sai Association,,"1 Jalan Petani, Sungai Petani, Kedah.",100.4834508,5.634133,Kedah,地缘,41,,
双溪大年华人注册社团联合会,Gabungan Persatuan Orang-Orang China,Sungai Petani Kedah,"21 Jalan Merbok, 08000 Sungai Petani, Kedah.",100.486279,5.6404689,Kedah,综合,41,,
吉打州华人大会堂,Dewan Perhimpunan Cina Keda,Kedah Chinese Assembly Hall,"8, Jalan Tanjung Bendahara, 05300 Alor Setae Kedah.",100.37,6.1018647,Kedah,综合,41,,
吉玻惠安公会,Persatuan Hui Aun Kedah / Perlis,,"51. KLM. Kampong Perak, 05100 Alor Star, Kedah.  ",100.363888,6.121473,Kedah,地缘,41,,
吉玻潮州会馆,Persatuan Teochew Kedah / Perlis,,"27-B, Lebuhraya Darul Aman, 05000 Alor Setar, Kedah.",100.3670486,6.1225038,Kedah,地缘,41,,
吉玻海南会馆,Persatuan Hainan Kedah / Perlis,"Hainan Association, Kedah And Perlis","36, Jalan Putra, 05100 Alor Setar, Kedah.",100.3631808,6.1228432,Kedah,地缘,41,,
吉玻海南会馆,Persatuan Hainan Kedah / Perlis,"Hainan Association, Kedah And Perlis","36, Jalan Putra, 05100 Alor Setar, Kedah.",100.3631808,6.1228432,Kedah,地缘,41,,
吉玻福莆仙同乡会,Kedah / Perlis Hock Phor Sean Association,,"40, Jalan Putra, 05100 Alor Star, Kedah.",100.3621919,6.123256,Kedah,地缘,41,,
吉玻惠州会馆,Persatuan Fui Chiu Kedah/Perlis Chen & Association,,"68 Komplek Alor Malai Batu 2, Jalang Langgar, 054460 Alor Setar, Kedah.",100.3890951,6.1308965,Kedah,地缘,41,,
浮罗交怡海南会馆,Persatuan Hainan Langkawi Kedah,,"1 Pekan Kuah, 07000 Langkawi, Kedah.",99.8439119,6.3265033,Kedah,地缘,41,,
浮罗交怡福建会馆,Pulau Langkawi Hokkien Association,,"217, Taman Langkawai, Mukim Kuahz 07000 Pulau Langkawi, Kedah.",99.8,6.35,Kedah,地缘,41,,
吉南福建公会,Persatuan Hokkien Kedah Selatan,South Kedah Hokkien Association,"291, Jalan Pasar, 09000 Kulim, Kedah.",100.5556366,5.3694705,Kedah,地缘,42,,
吉打永大会馆,Persatuan Yoon Thai,Yoon Thai Association,"99, Pekan China, 05000 Alor Setar, Kedah.",100.363097,6.117492,Kedah,地缘,42,,
吉打广东暨汀州会馆,Persatuan Kwangtung & Tengchow Kedah,,"24-A, Jalan Pengkalan Kapal 05000 Alor Setae Kedah.",100.3680364,6.1169404,Kedah,地缘,42,,
吉打福建公会,Persatuan Hokkien Kedah,Kedah Hokkien Association,"189-191, (Tingkat Satu), Jalan Penjara Lama, 05000 Alor Star, Kedah.",100.3643947,6.1172751,Kedah,地缘,42,,
吉打漳泉公所,Kedah Chang Chuan Kong Sor,,"190, Jalan Penjara Lama, 05000 Alor Star, Kedah.",100.3640173,6.117623,Kedah,地缘,42,,
吉打客家公会,Persatuan Hakka Kedah,,"2-B , Jalan Kampong Perak, 05100 Alor Star, Kedah.",100.3646997,6.1210698,Kedah,地缘,42,,
吉玻台山会馆,Persatuan Orang Orang Toishan Kedah / Perlis Toishan Association Kedah And Perlis,,"2-C, Kampong Baru, 05000 Alor Star, Kedah.",100.3675918,6.1218631,Kedah,地缘,42,,
吉打中山公会,Persatuan Chung Sun,Chung Sun Association,"65, Jalan Putra 05100, Alor Star, Kedah.",100.3628097,6.1229942,Kedah,地缘,42,,
吉玻南安会馆,Persatuan Nan Ann Kedah/Perlis,The Nan Ann Association Kedah/Perlis,"169-D, Jalan Putra 05100 Alor Star, Kedah.",100.3605645,6.1239428,Kedah,地缘,42,,
吉玻晋江会馆,Persatuan Chin Kang Kedah/Perlis,,"3B,C Tingkat 1, Jalan Gangsa, Seberang Jalan Putra, 05150 Alor Star, Kedah.",100.3581289,6.1265935,Kedah,地缘,42,,
吉玻龙答同乡会,Persatuan Lungyen Kedah / Perlis,,"750, Lebuhraya Darul Aman, 05000 Alor Setar, Kedah.",100.3683117,6.1317004,Kedah,地缘,42,,
吉打州福州会馆,Persatuan Foochow Kedah,Kedah Foochow Association,"785, Jalan Langgar, 05460 Alor Star, Kedah.",100.4198472,6.1486921,Kedah,地缘,42,,
吉南嘉应五属同乡会,Persatuan Kah Yin Kedah Selatan,,"52, Jalan Raya, 09000 Kulim, Kedah.",100.5539893,5.366648,Kedah,地缘,43,,
吉南韩江公会,Persatuan Hang Kang Kedah Selatan ,,"29 Jalan Ray, Kulim, Kedah.",100.5552646,5.3680671,Kedah,地缘,43,,
吉南广惠肇会馆,Persatuan Kwong Wai Slew Kedah Selatan,,"30, Jalan Raya, 09000 Kulim, Kedah.",100.5551418,5.368179,Kedah,地缘,43,,
吉属高州会馆,Kedah Koh Chow Wooi Koon,,"287-M, Jalan Aman ,09000 Kulim, Kedah.",100.554537,5.370651,Kedah,地缘,43,,
吉南客家公会,Persatuan Kaum Orang-Orang Hakka Kedah Selatan,South Kedah Hakka Community Association,"1125-1126, Lorong Belibis 1/1, Taman Tunku Putra, 09000 Kulim, Kedah.",100.5582809,5.3736648,Kedah,地缘,43,,
吉中福建会馆,Hokkien Association Central Kedah,,"1G, 1st Floor, Jalan Kampung Baru, 08000 Sungai Petani, Kedah.",100.486348,5.635983,Kedah,地缘,43,,
吉中客家公会,Persatuan Hakka Kedah Tengah,,"20 Jalan Merbok, 08000 Sungai Petani, Kedah.",100.486228,5.6404679,Kedah,地缘,43,,
吉玻嘉应会馆,Persatuan Kah Yin Kedah/Perlis,Kedah Perlis Kah Yin Association,"115, Jalan Langgar, 05460, Alor Star, Kedah.",100.3707448,6.1169556,Kedah,地缘,43,,
吉玻江夏堂黄氏宗祠,Persatuan Kang Har Tong (Ooi Si Chong Soo) Kedah / Perlis,,"10-G, Jalan Datuk Syed Omar, Seberang, Jalan Putra, 05150 Alor Setar, Kedah.",100.3853782,6.124713,Kedah,血缘,43,,
吉玻关氏延陵堂,Pertubuhan Keturunan Goh' s(Ean Leng Tong),Kedah Perlis,"50 Taman Thean Peng Seberang, Jalan Putra, 05150 Alor Setae Kedah.",100.3441771,6.13352,Kedah,血缘,43,,
吉南琼崖同乡会,Pert Thye Guang (Ong Si Choong Soo) Kedah/Perlis,,"70-L/M Taman Mahawangsa Seberang, Jalan Alor Setar, 05150 Kedah.",100.3311919,6.1428582,Kedah,地缘,43,,
吉玻苏许连宗祠,Persatuan Saw Khaw Lean Kedah / Perlis,,"88, Batu 6, Simpang Empat, 06650 Alor Star, Kedah.",100.3831873,6.022917,Kedah,血缘,44,,
吉玻龙山堂曾氏公会,Persatuan Loong Sun Tong Kedah/Perlis,,"192 Batu 5, Taman Bersatu Simpang Empat, Alor Setar, Kedah.",100.38073,6.043171,Kedah,血缘,44,,
吉玻施氏公会,Persatuan See Kedah/Perlias,,"173-B Taman Sri Tandop, Jalan Lencong Barat Alor Setar, Kedah.",100.3635728,6.0730443,Kedah,血缘,44,,
吉玻刘关张赵古城会,Persatuan Liu Guan Zhang Zhao Gu Cheng Hui,Kedah / Perlis,"168, Lebuhraya Sultan Abdul Halim, 05400 Alor Star, Kedah.",100.3629725,6.083403,Kedah,血缘,44,,
吉玻孙氏宗祠,Persatuan Suku Kaum Soon Shi Zong Ci Kedah/Perlis,Indera Kayangan,"99 Jalan Kundor, 05400 Alor Setar, Kedah. ",100.367359,6.0938389,Kedah,血缘,44,,
吉玻四美堂庄氏宗祠,Pertubuhan Soo Bee Tong Ch' ng Si Chong Soo Kedah Dan Perlis(1992),,"111 Jalan Pekan Melayu, Alor Setar, Kedah.",100.364923,6.119678,Kedah,血缘,44,,
吉玻谢氏宗亲会,Persatuan Cheah Kedah/Perlis,,"23 Tingkat 1, Jalan Tunku Yaakub, Alor Setar, Kedah.",100.3626123,6.1170733,Kedah,血缘,44,,
吉玻王氏太原堂,Pertubuhan Thye Guan Tong (Ong Si Chong Soo),Kedah / Perlis,"70-L & 70-M, Taman Mahawangsa, Seberang Jalan Putra, 05150 Alor Setar, Kedah,",100.3594005,6.1200058,Kedah,血缘,44,,
吉玻辛柯蔡宗祠,"Sin Quah Chuah Chong Soo, Kedah / Perlis",,"737, Lebuh Raya Darulaman 05100, Alor Setar, Kedah.",100.3683117,6.1317004,Kedah,血缘,44,,
吉玻梁氏宗亲会,"Persatuan Kebajikan Liang Kedah / Perlis,",,"2536 Tingkat 1, Kompleks Pumpang, Pekan Pumpong, 05250 Alor Setar, Kedah.",100.36952,6.1357614,Kedah,血缘,44,,
吉玻陇西堂,Persatuan Leong Say Tong Kedah/Perlis,,"6 Lorong Suka Ramai, Bakar Bata, 05100 Alor Star, Kedah.",100.370275,6.13899,Kedah,血缘,44,,
吉中李氏宗亲会,Pertubuhan Lee Sih Chong Soo Kedah Tengah,,"5, Hadapan Sek. Men. Che Tom, Jalan Bakar Arang, 08000 Sungai Petani, Kedah.",100.478342,5.6233449,Kedah,血缘,45,,
吉玻当商公会,Pertubuhan Pengusaha Pajak Gadai Kedah ,,"1 Jalan Petani, Sungai Petani, Kedah.",100.4834508,5.6341331,Kedah,业缘,45,,
吉中忠顺世家,Tiong Soon See Kah Kedah Tengah,,"739-B, Jalan Bakar Sampah, 08000 Sungai Petani, Kedah.",100.4990311,5.6364846,Kedah,血缘,45,,
吉中林氏宗祠,Persatuan Um See Chong Soo,,"5-G Jalan Kampong Baru 08000, Sungai Petani, Kedah.",100.4884533,5.6378644,Kedah,血缘,45,,
吉玻庄严同宗会,Persatuan Zhuang/Yam Kedah Dan Perlis,,"4, Tingkat 2, Taman Selesa, Simpang Kuala, 05400 Alor Setan Kedah.",100.3666021,6.095685,Kedah,血缘,45,,
吉玻陈氏颖川堂,Tan Si Eng Chuan Tong Kedah Perlis,,"666-B, Lorong Tangki Limbong Kapal, 05000 Alor Star, Kedah.",100.366859,6.115349,Kedah,血缘,45,,
吉打嘉和俱乐部,Kelab Rekrasi Kah Who Kedah,,"73-B, Tingkat 2, Komplek Jalan Nagor, 05000 Alor Star, Kedah.",100.366611,6.13126,Kedah,血缘,45,,
吉打九龙堂林姓公会,Persatuan Um Kew Leong Tong Kedah Darul Aman  ,Lim Association Kew Leong Tong,"4-A, Kampong Perak, 05100 Alor Setar, Kedah.",100.363888,6.121473,Kedah,血缘,45,,
吉玻郑氏英阳堂,"Persatuan The Si Eng Eong Tong Kedah, Perak",,"33,  Jalan Biru 2, Kg Berjaya Sag Jalan Putra, 05150 A/S Kedah.",100.3559783,6.1246006,Kedah,血缘,45,,
吉玻电单车汽车商暨银业公会,Persatuan Peniaga Kenderaan Bermotor / Kereta Terpakai Dan Kewangan,,"307, Jalan Tengah, Off Jalan Putra, 05100 Alor Setar, Kedah.",100.3624587,6.1253543,Kedah,业缘,45,,
吉玻缝业公会,Persatuan Tukang-Tukang Jahit Negeri Kedah /Perlis,,"82, Seberang Jalan Putra 05150 Alor Setar, Kedah.",100.350241,6.129868,Kedah,业缘,45,,
吉北华人摩多工人公会,,North Kedah Chinese Motor Workers Association,"8 Jalan Kanchut, Alor Setar, Kedah.",100.3683435,6.1328103,Kedah,业缘,45,,
吉玻摄影公会,,The Kedah Perlis Photo Graphers Association,"A-17, Jalan Saga Ria, Taman Saga, 05400 Alor Setar, Kedah.",100.3785116,6.0891102,Kedah,业缘,46,,
吉打屠业公会,,Persatuan Peniaga Dan Penyembelih Babi Kedah,"20-A, Taman Berjaya, Jalan Pengawal, 05050 Alor Star, Kedah.",100.3539164,6.1023367,Kedah,业缘,46,,
吉玻金钻珠宝公会,Persatuan Perniagaan Emas Dan Permata Kedah / Perlis,,"2203-K Tingkat Satu, Seberang Perak, 05050 Alor Setar, Kedah.",100.3612979,6.114328,Kedah,业缘,46,,
吉打什货商公会,Persatuan Peniaga Am Kedah,Kedah General Merchants' Association,"2190, 1st Floor, Lorong Kemuning Seberang Perak, 05400 Alor Star, Kedah.",100.3611063,6.11448,Kedah,业缘,46,,
吉打华人生果同业公会,,Kedah Chinese Furniture Association,"72-B, Jalan Nagor, 05000 Alor Setar, Kedah.",100.366611,6.13126,Kedah,业缘,46,,
吉玻米较公会,Persatuan Pengilang-Pengilang Beras,Kedah & Perlis Kedah & Perlis Rice Millers Association,"400 (2nd) Floor, Jalan Pintu Sepuluh, 05000 Alor Setar, Kedah.",100.3647999,6.1246473,Kedah,业缘,46,,
吉玻汽车修理工商公会,,Persatuan Auto Mobil Workshop Kedah / Perlis,"212 C, Medan Putra, Sbg Jalan Putra, 05150 Alor Setar Kedah.",100.3556513,6.1259264,Kedah,业缘,46,,
吉打华商咖啡公会,Persatuan Kedai-Kedai Kopi China Kedah,Kedah Chinese Shopkeepers Association,"169 E & F, Jalan Putra 05100 Alor Star, Kedah.",100.3537412,6.1268221,Kedah,业缘,46,,
吉打菜业公会,Persatuan Peniaga-Peniaga Sayur Negeri Kedah,,"S15 Pasar Pemborong Sayur Syarikat Saudagar-Saudagar Ikan (K) Sdn. Bhd. Sbg, Jalan Putra, Alor Setar, Kedah.",100.3590375,6.1273853,Kedah,业缘,46,,
吉打华巫米较公会,Persatuan Pengilang-Pengilang Beras Cina Melayu Kedah.,,"121-A&B, Seberang Jalan Putra, 05150 Alor Setar, Kedah.",100.3503911,6.128609,Kedah,业缘,46,,
吉玻机械及车辆零件商会,,Kedah Perlis Spare Parts Dealers Association,"25, 1st Floor, Seberang Jalan Putra, 05150 Alor Star, Kedah.",100.3480107,6.1299161,Kedah,业缘,46,,
吉玻家电商公会,Persatuan Peniaga Alat-Alat Elektrikal Dometik Kedah / Perlis,,"186, Tingkat 2, Shahab Perdana, Jalan Shahab Perdana 5, Jalan Sultanah Sembungan, 05350 Alor Star, Kedah.",100.3885712,6.1400601,Kedah,业缘,46,,
吉中咖啡公会,Persatuan Pemilik Kedai Kopi Kedah Tengah ,Central Kedah Coffee Shop Owners' Association,"6, Jalan Petri, 08000 Sungai Petani, Kedah.",100.4861629,5.640045,Kedah,业缘,47,,
吉中小贩商业公会,Persatuan Panjaja-Panjaja Kedah Tengah,,"55-N, Jalan Sekarat 08000 Sungai Petani, Kedah.",100.4945566,5.6414961,Kedah,业缘,47,,
吉打州柴炭商公会,Persatuan Peniagaan Kayu Api & Arang Negeri Kedah,,"13-C Taman Aman Kg. Baru, 08000 Sungai Petani, Johor.",100.4894179,5.643589,Kedah,业缘,47,,
吉打州家私同业公会,Persatuan Pembuat-Pembuat Dan Peniaga-Peniaga Perabot Negeri Kedah,,"228 &229 (Tingkat Atas), Kawasan Perusahaan Tandop Baru, 05050 Alor Star, Kedah.",100.3617197,6.0811629,Kedah,业缘,47,,
吉打州米商公会,Pertubuhan Peniaga-Peniaga Bekas Negeri Kedah,,"46-A, Kompleks Sukan Muazam Shah, Lebuhraya Sulfan Abdul Halim, 05400 Alor Star, Kedah.",100.364,6.09779,Kedah,业缘,47,,
吉礁建筑商暨建筑材料商公会,Persatuan Pemborong-Pemborong Dan Pembekal- Pembekal Barang-Barang Bangunan Kedah,,"169-A&B, Jalan Kampong Perak, 05100 Alor Star, Kedah.",100.3629177,6.1217677,Kedah,业缘,47,,
吉打小贩商业公会,Persatuan Penjaja-Penjaja Kedah,,"51, S&T,  Jalan Kampong Perak, 05100 Alor Setar, Kedah.",100.3625921,6.1221261,Kedah,业缘,47,,
吉打州枝职文凭公会,Persatuan Pemilik Sijil Kemahiran Malaysia Negeri Keda,,"4A, Batu 2, Seberang Jalan Putra, Mergong, 05150 Alor Setar, Kedah.",100.350838,6.12801,Kedah,业缘,47,,
吉打州拖车及修车公会,Persatuan Pemilik Kereta Penunda Dan Membaiki,,"4A, Baru 2, Seberang Jalan Putra Mergong, 05150 Alor Setar, Kedah.",100.3503911,6.128609,Kedah,业缘,47,,
吉打鱼商公会,,Kedah Fish Merchants Association,"37-R, Seberang Jalan Putra, 05150 Alor Setar, Kedah.",100.350241,6.129484,Kedah,业缘,47,,
吉打州修车公会,Persatuan Pemilik Bengkel Kenderaan Negeri Kedah,,"4A, Batu 2, Seberang Jalan Putra, Mergong, 05150 Alor Setar, Kedah.",100.3503911,6.128609,Kedah,业缘,47,,
吉打中华工商总会,Dewan Peniangaan Dan Perindustrian Tiong Hua,Kedah Chinese Chamber Of Commerce Industry,"749, 1st Floor, Lebuhraya Darul Aman, 05100 Alor Star, Kedah.",100.3680132,6.1302589,Kedah,业缘,47,,
南吉打中华商会,Dewan Perniagaan Tionghoa Kedah Selatan,South Kedah Chinese Chamber Of Commerce,"1190, Lorong Bebilis 1/1, Taman Tunku Putra, 09000 Kulim, Kedah.",100.5579764,5.3731295,Kedah,业缘,48,,
吉玻留台同学会,Persatuan Siswazah-Siswazah Taiwan Kedah Perlis,,"1, Lorong 23, Taman Patani Jaya, 08000 Sungai Petani Kedah.",100.4885642,5.6294811,Kedah,文教,48,,
潮商公会,Persatuan Saudagar-Saudagar Teochew Sungai Petani,,"136-C, Taman Bersatu, 08000 Sungai Petani, Kedah.",100.4917894,5.6372309,Kedah,业缘,48,,
双溪大年建造行,Persatuan Kin Cho Hong,,"584, Jalan Kuala Ketil, 08000 Sungai Petani, Kedah.",100.492513,5.6392999,Kedah,业缘,48,,
吉玻校长职工会,KKGGBM Cawangan Kedah / Perlis,,"SJK(C) Sin Min A, Jalan Pegawai, 08000 Sungai Petani, Kedah.",100.485215,5.652956,Kedah,文教,48,,
吉中中华工商联合会,Persatuan Perniagaan & Perindustrian Cina Kedah Tengah ,The Chinese Chamber Of Commerce&Industry Of Central Kedah,"143, 1st Floor, Jalan Kelab Cinta Sayang, Taman Ria Jaya, 08000 Sungai Petani, Kedah.",100.5131261,5.652979,Kedah,业缘,48,,
吉玻日间师训同学会,Persatuan Guru-Guru Lepasan DTC Kedah Perlis,,"180, Taman Sri Ampang, Jalan Kenanga 11 05050 Alor Star, Kedah.",100.3390124,6.1071718,Kedah,文教,48,,
亚罗士打建造业,Kin Cho Hong Alor Setar,,"3, Jalan Tunku Abdul Rahman Putra, (Jalan Putra), 05100 Alor Star, Kedah.",100.3655763,6.1217452,Kedah,业缘,48,,
吉北华校教师公会,Persatuan Guru-Guru Sekolah Cina Kedah Utara,North Kedah Chinese School Teachers Association,"25B, Jalan Alor Semadom, 05250 Alor Setar, Kedah.",100.3766421,6.1409135,Kedah,文教,48,,
吉州学生车公会,Persatuan Operator Bas Bas Sekolah Negeri Kedah,,"2500(Tingkat1) Kompleks Tunku Yaacob, Jalan Lebuhraya Darulaman, 05100 Alor Star, Kedah.",100.306147,6.1707361,Kedah,业缘,48,,
树胶商公会(古邦巴素),Persatuan Peniaga-Peniaga Getah Kubang Pasu Kedah,,"854 Jalan Masjid, Kubang Pasu, Kedah.",100.4225461,6.35777,Kedah,业缘,48,,
吉打华校校友会联合会,Gabungan Persatuan-Persatuan Bekas Palajar Sekolah Negeri Kedah,,"271, Taman Keranji 2, 09000 Kulim, Kedah.",100.5408068,5.3686469,Kedah,文教,49,,
吉南觉民校友会 .,"Persatuan Murid-Murid Lepasan Sekolah Chio Min, Kedah Selatan",,"271 Taman Keranji 2, 09000 Kulim, Kedah.",100.541701,5.36983,Kedah,文教,49,,
吉南华校教师公会,Persatuan Guru-Guru Sekolah Cina Kedah Selatan,,"D/A SJK(C) Chio Min B' , 09000 Kulim, Kedah. ",100.5498415,5.3732881,Kedah,文教,49,,
吉南鲁乃华民校友会,"Persatuan Bekas Murid-Murid Sekolah Hwa Min, Lunas Kedah",,"285, Tingkat Atas, Jalan Desa Makmur 3, Taman Desa Makmur, 09600 Lunas, Kedah.",100.5396992,5.4326799,Kedah,文教,49,,
吉中华校教师会,Persatuan Guru-Guru Sek Cina Kedah Tengah,,"SJK(C) TaiTong, Taman Kempas Sg. Pasir, 08000 Sungai Petani, Kedah.",100.4788199,5.594427,Kedah,文教,49,,
吉打双溪大年新民校友会,Persatuan Murid Murid Tua Sin Min Sungai Petani Kedah,,"10, Jalan Merbok, 08000 Sungai Petani, Kedah.",100.4853948,5.6404,Kedah,文教,49,,
吉大韩江校友会,Persatuan Bekas Murid Han Chiang Kedah,Penang Han Chiang School Ex-Pupils'  Kedah Association,"46(3/F) Jalan Pengkalan, Taman Pekan Baru, 08000 Sungai Petani, Kedah.",100.4875089,5.641611,Kedah,文教,49,,
