所属州,所属区域,所属行政单位类型,所属行政单位名称,年份 (1),年份 (2),单位名称,主神,Longitude,Latitude
雪兰莪 Selangor,烏魯冷岳縣 Daerah Hulu Langat,城鎮,士毛月Semenyih,,1880,仙四师爷宫,四师爷，仙师爷,2.9487,101.8469
雪兰莪 Selangor,烏魯雪蘭莪縣 Hulu Selangor ,城鎮,烏魯音Bandar Ulu Yam,,1978,茅山法坛,茅山法主,3.4292,101.6587
雪兰莪 Selangor,烏魯雪蘭莪縣 Hulu Selangor ,城鎮,烏魯音Bandar Ulu Yam,,,南天宫,林府太师,3.4325,101.6572
雪兰莪 Selangor,烏魯雪蘭莪縣 Hulu Selangor ,城鎮,烏魯音Bandar Ulu Yam,,,南镇宫,法主公,3.4292,101.6585
雪兰莪 Selangor,烏魯雪蘭莪縣 Hulu Selangor ,城鎮,烏魯音Bandar Ulu Yam,,,蓬莱殿,清水祖师,3.4271,101.6605
雪兰莪 Selangor,烏魯雪蘭莪縣 Hulu Selangor ,城鎮,龍邦Kalumpang,,1902,龙邦古庙,观音菩萨,3.6399,101.5714
雪兰莪 Selangor,烏魯雪蘭莪縣 Hulu Selangor ,城鎮,新古毛Kuala Kubu Bharu,1780,2011,观音阁,观音菩萨,3.5602,101.6634
雪兰莪 Selangor,烏魯雪蘭莪縣 Hulu Selangor ,城鎮,新古毛Kuala Kubu Bharu,1780,1904,观音古寺,,3.537,101.6622
雪兰莪 Selangor,烏魯雪蘭莪縣 Hulu Selangor ,城鎮,新古毛Kuala Kubu Bharu,1780,1895,岳山古庙（岳山师爷宫）,阮公圣佛，梁公圣佛,3.5591,101.6612
雪兰莪 Selangor,烏魯雪蘭莪縣 Hulu Selangor ,城鎮,雙文丹Serendah,,1898,仙四师爷宫,仙师爷，四师爷,3.3665,101.6074
雪兰莪 Selangor,烏魯雪蘭莪縣 Hulu Selangor ,城鎮,峇冬加里Batang Kali,,1994,福泉庙,关帝,3.4656,101.6403
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,1897,天宝宫 Thean Poh Keong,蚶山哪督尊王,2.828343,101.41708
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,1988,新邦干宗福禄洞宫 Fu Lu Dong Gong,张公圣君,2.770802,101.472423
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,1990,新邦毛立碧云宫 Bi Yun Gong,太上老君,2.781063,101.466876
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,1999,天令坛 Tian Lin Tan,拿督公,2.835785,101.427914
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,2004,天圣坛 Tian Sheng Tan,齐天大圣,2.821012,101.500268
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,1943之前,三官庙 Sam Kuan Temple,三官大帝,2.822178,101.501225
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,1953之前,联军庙 Lian Jun Temple,玉皇大帝,2.816651,101.496052
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,1963之前,太保凤山寺 Tai Poh Hong San Si,徐吴真仙,2.81581,101.496491
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,1973之前,莲花宫 Lian Hua Gong,莲花三太子,2.824844,101.50594
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,1973之前,福圣宫 Hock Seng Geng,张公圣君,2.814484,101.500223
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,1983之前,忠义宫 Zhong Yi Gong,关帝圣君,2.813198,101.487753
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,1994之前,摩立慈航堂 Cheh Ang Tong,南海观音,2.770711,101.454096
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,,清兰宫 Qing Lan Gong,八仙,2.689893,101.4943
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,,新港顺天宫 Sun Tian Gong,元帅爷公,2.689818,101.4943
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,,峇东巴西顺天宫 Shun Tian Gong,玄天上帝,2.8277,101.41648
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,,摩立白马老师宫 Pak Mah Law See Kong,白马老师公,2.752262,101.443782
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,萬津Banting,,,龙仙宫,,2.812779,101.503806
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,1934,清龙宫 Cheng Leng Keng,乌鲁伯公 - 开山圣侯,2.658427,101.554141
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,1960,五雷仙法師公古廟,五雷仙法师公、达摩祖师、黄老仙师,2.65723,101.560413
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,1978,金经达摩祖师古庙,,,
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,2015,琉璃山药师佛寺,琉璃山药师佛,2.66251,101.59805
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,-,丹绒士拔佛学会,-,2.65875,101.56307
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,1913之前,顺天宫 Shun Tian Gong,铁元帅/元帅爷公,2.66005,101.561601
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,1963之前,风火院 Fong Huo Yuan,田府元帅,2.661322,101.556222
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,1973之前,玉封忠义宫 Choong Yee Temple,关圣帝君,2.661679,101.560355
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,1973之前,顺平宫 Shun Ping Gong,千手观音,2.692262,101.507229
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,,九龙堂 Jiu Long Tang,太史公,2.659939,101.561654
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,直落邦里瑪嘉朗 Telok Panglima Garang,,1897,岳福寿宫 Hock Siew Temple,张公圣君,2.897215,101.466351
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,瓜拉雪蘭莪Kuala Selangor,<1700,1888,天福宫 Tian Fu Gong,天上圣母,3.34256,101.24899
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,瓜拉雪蘭莪Kuala Selangor,<1700,1993之前,二支五祖庙 Wu Zu Temple,关帝圣君,3.318639,101.275434
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,瓜拉雪蘭莪Kuala Selangor,<1700,,关帝庙,,3.350577,101.249944
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,瓜拉雪蘭莪Kuala Selangor,<1700,,汶汀哥壩仙法師公古廟,,,
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,丹戎加弄Bandar Tanjong Karang,,1960,协天宫 Hiap Tien Gong,协天大帝,3.421553,101.183158
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,丹戎加弄Bandar Tanjong Karang,,1963,西天宫 Xi Tian Gong,齐天大圣,3.422553,101.18186
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,丹戎加弄Bandar Tanjong Karang,,1973,六支玉皇太子殿 Tai Zhi Temple,张公圣君,3.41245,101.192337
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,丹戎加弄Bandar Tanjong Karang,,1997,慈信坛 Chee Xin Tan,黄老仙师,3.423389,101.17776
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,丹戎加弄Bandar Tanjong Karang,,2004,平安宫 Ping Ann Keong,拿督公,3.4235,101.179389
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,丹戎加弄Bandar Tanjong Karang,,1913之前,六支副天福宫 Thian Hock Temple,妈祖,3.413331,101.193576
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,丹戎加弄Bandar Tanjong Karang,,,六支众位仙法师公古庙,,,
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,丹戎加弄Bandar Tanjong Karang,,,龙尾景众位仙法师公古庙,,,
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,而欖Pekan Jeram,,1955之前,天宝宫 Tian Poh Kong,白马老师公,3.186446,101.315349
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,而欖Pekan Jeram,,,天德宫 Tian De Gong,张公圣君,3.196911,101.314808
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,而欖Pekan Jeram,,1983,洪公宫 Ang Kong Temple,洪公真人,3.186047,101.316102
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,而欖Pekan Jeram,,1995,福顺宫 Hock Sun Keng,张公圣君,3.1742,101.3135
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,而欖Pekan Jeram,,1978之前,吉祥庵 Ji Xiang An,武功祖师,3.227252,101.314578
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,甘邦關丹Kampung Kuantan,,,天富宫,法主公,3.3604,101.3041
雪兰莪 Selangor,瓜拉雪蘭莪縣 Kuala Selangor ,城鎮,八丁燕帶Bestari Jaya,<1937,,天清法宫,,3.303491,101.411628
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,八打靈再也Petaling Jaya,,1963,山云宫 Sun Hoon Keong,广泽尊王,3.08272,101.647252
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,八打靈再也Petaling Jaya,,1973之前,五雷仙师坛 Wu Lei Xian Shi Temple,五雷仙师,3.083844,101.65199
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,八打靈再也Petaling Jaya,,1976之前,开封府龙图宫 Leng Toh Temple,包公大人,3.084207,101.651103
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,八打靈再也Petaling Jaya,,1953,阮梁圣公佛 Yeong Leong Beow,阮梁公圣佛,3.13027,101.631772
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,八打靈再也Petaling Jaya,,1969,斗母宫 Tow Boo Keong,九皇大帝,3.123905,101.629158
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,八打靈再也Petaling Jaya,,,佛光文教中心,,3.09675,101.611574
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,八打靈再也Petaling Jaya,,,观音亭,,3.091705,101.642305
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,莎阿南Shah Alam,,,西圣庙,孙悟空,3.127,101.5308
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,莎阿南Shah Alam,,1945之前,道济宫 Dao Ji Gong,济公仙师,3.132116,101.53784
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,莎阿南Shah Alam,,,九天庭,,3.029203,101.479863
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,蒲種Puchong,1900s,1960,凤仙寺 Feng Xian Si,七仙女,3.057677,101.624709
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,蒲種Puchong,1900s,1913之前,观音殿 Kuan Yin Tien,观音菩萨,3.057795，101.638494,
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,蒲種Puchong,1900s,1969之前,华光庙 Hua Guang Temple,华光太帝,2.962674,101.612769
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,蒲種Puchong,1900s,,蒲种英达花园拿督公庙,,3.012199,101.604649
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,沙登Seri Kembangan,1950,1960之前,玉皇庙 Yu Huang Temple,玉皇大帝,3.030502,101.748979
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,梳邦再也Subang Jaya,,,法炬山法藏寺,,3.051607,101.594346
雪兰莪 Selangor,八打靈縣 Petaling ,城鎮,梳邦再也Subang Jaya,,,首邦再也佛教會,,3.064038,101.593472
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,六條溝Pekan Parit Enam,,1987,天法宫 Tian Fa Gong,天法师,3.726471,100.979704
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,適耕莊Sekinchan,,1945,天福宫 Thean Hok Kion,张公圣君,3.50922,101.10544
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,適耕莊Sekinchan,,1973,关帝庙 Kuan Ti Temple,关帝圣君,3.508004,101.105785
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,適耕莊Sekinchan,,1978,南天宫九皇大帝 Nan Tian Gong Jiu Wang Ye,九皇大帝,3.523655,101.142049
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,適耕莊Sekinchan,,1982,水尾圣娘庙 Hainam Swee Buey Ting Niang,水尾圣娘,3.508675,101.105392
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,適耕莊Sekinchan,,1998,南海观音菩萨 Nan Hai Kuan Yin Temple,南海观世音菩萨,3.505549,101.098842
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,適耕莊Sekinchan,,2004,德教會紫沛閣,,3.511728,101.097804
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,適耕莊Sekinchan,,2007,广泽尊王坛 Guang Ze Zun Wang Tan（尊王庙）,广泽尊王,3.501388,101.097093
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,適耕莊Sekinchan,,1960之前,保安宫 Bao An Gong,秀姑圣神,3.510808,101.099831
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,適耕莊Sekinchan,,,镇龙宫 Zhen Long Gong,李府童子,3.508339,101.094427
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,適耕莊Sekinchan,,,仙法师公古庙 Xian Fa Shi Gong Gu Miao,仙法师公,3.505065,101.098938
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,適耕莊Sekinchan,,,济公活佛庙 Ji Gong Huo Fo Temple,济公活佛,3.504397,101.100726
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,沙白鎮Sabak,,1890,河边街天福宫 Thien Hock Kong,张公圣君,3.769809,100.982199
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,沙白鎮Sabak,,1962,河畔关帝庙 Guan Di Temple,关帝圣君,3.776629,100.987836
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,沙白鎮Sabak,,2000,南佛光堂地母娘娘宫 Foh Guang Tang Di Mu Niang Niang Gong,地母娘娘,3.763333,100.96629
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,沙白鎮Sabak,,2004,祖师宫 Zu Shi Gong,盘古帝皇,3.763769,100.988385
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,沙白鎮Sabak,,1970之前,天福宫 Theam Hock Keong,张公圣君,3.767206,100.991558
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,沙白鎮Sabak,,1975之前,释迦庵 Shi Jia An,释迦牟尼佛,3.765047,100.990879
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,沙白鎮Sabak,,1983之前,白莲寺 Pek Lian Si,观音佛祖,3.77403,100.991554
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,沙白鎮Sabak,,1983之前,仙法师公古庙 Xian Fa Shi Gong Temple,达摩祖师,3.6715,100.9842
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,沙白鎮Sabak,,1983之前,云仙坛 Yun Xian Tan,洪法仙师,,
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,沙白鎮Sabak,,,武圣坛 Wu Sheng Tan,协天大帝,3.768149,100.986731
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,沙白鎮Sabak,,,派财四面佛天法宫,,3.72657,100.979714
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,沙白鎮Sabak,,,仙法师公古庙2,达摩祖师,3.6694,100.9804
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,大港Sungai Besar,,1967,白鹤仙法师宫 Bai He Xian Fa Shi Gong,五祖仙法师,3.673415,100.982336
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,大港Sungai Besar,,1970,八仙古庙 Pak Sen Ko Bio,七剑仙师佛祖,3.674006,100.982792
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,大港Sungai Besar,,1973,福顺宫 Hock Soon Keong,张公圣君,3.677504,100.984912
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,大港Sungai Besar,,1985,天德堂 Tien Teck Tong,如来佛祖,3.671276,100.98467
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,大港Sungai Besar,,1989,善财童子庙 Sian Chai Tong Zhi Temple,南海观世音菩萨,3.674304,100.980762
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,大港Sungai Besar,,1996,永安宫 Eng Onn Kong,拿督南利,3.677592,100.984889
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,大港Sungai Besar,,,篮啅庙,拿督公,3.6667,100.982
雪兰莪 Selangor,沙白安南縣 Sabak Bernam ,城鎮,大港Sungai Besar,,,四仙师公庙,达摩祖师,3.6704,100.9796
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,1938,陈氏宗祠,祖皇,2.65834,101.55889
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,1969,宝树堂/谢氏宗祠,,2.6572,101.56063
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,1959年（可能更早）,太阳庙,太阳星君,2.65926,101.55745
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,,坑口庙,田都元帅,2.65843,101.57113
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,1952,天后宫,天后圣母,2.65941,101.55987
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,,雪兰莪丹绒士拔石云宫,张公圣君,2.65098,101.58263
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,,Siamese Temple,,2.66321,101.56383
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,1960,五雷仙法師公古廟（天雷亭）,,2.6565893,101.5600762
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,,丹绒士拔林氏宗祠,,,
雪兰莪 Selangor,瓜拉冷岳縣 Kuala Langat ,城鎮,丹绒士拔Tanjung Sepat,,,,,,
