Name,Notes,Address,State,UID,Latitude,Longitude,img,no_img
善和堂,,"No 9, Jalan Tekun, Taman Maju Jaya, 80400 Johor Bahru, Johor",Johor,A047,1.4817005,103.7658556,,
壹仟間大伯公廟,,"Jalan Persiaran Tanjung, Taman Cempaka, 81200 Johor Bahru, Johor",Johor,A048,1.515135,103.703567,,
南海宮 – 40年歷史,,"Bukit Indah, 81200 Johor Bahru, Johor",Johor,A049,1.4783324,103.6545421,,
天馬道場,天道在柔佛州最大的道場(道場後面是龍華山),"Lot 4272, Jalan Perdana Selatan, Taman Bukit Perdana 2, 83000 Batu Pahat, Johor",Johor,A050,1.8372251,102.9604952,Yes,2
普陀淨寺,根據這裡的一位女廟祝透露，此寺已有百年歷史了,"13, Jalan Murai, Kampung Pegawai, 83000 Batu Pahat, Johor",Johor,A051,1.8472539,102.9369077,Yes,44
龍安廟,此廟有44年歷史,"23, Jalan Muar，Kampung Lubok, 83000 Batu Pahat, Johor",Johor,A052,1.8796549,102.7879384,Yes,1
林氏宗祠天後宮,,"3, Jalan Fatimah, Kampung Sateh, 83000 Batu Pahat, Johor",Johor,A053,1.8487491,102.9278166,Yes,13
媽祖廟/忠義廟/ 福興宮/城隍廟,,"Parit Besar Laut, Kampung Bagan, 83000, Johor",Johor,A054,1.8466761,102.8526998,Yes,2
建南寺 (太子爺公廟),此廟有 67 年歷史,"No. 402-A,, Jalan Bukit Pasir, 83000 Batu Pahat, Johor",Johor,A055,1.8847825,102.9472596,Yes,12
覺慧禪院,,"Kampung Pegawai, 83000 Batu Pahat, Johor",Johor,A056,1.85387,102.9256661,,
修緣廟 Penganut Buddha Xiu Yuan,,"Kampung Beroleh, 83000 Batu Pahat, Johor",Johor,A057,1.869672,102.969365,Yes,41
興義殿(五付大人)- 白馬顯神威,,"Jalan Muar, Semerah, 83600 Semerah, Johor",Johor,A058,1.9022184,102.7513366,,
青雲寺南海觀音廟,,"Batu 4, Jalan Kluang, Parit Iman, Batu Pahat, Johor",Johor,A059,1.8698423,102.9839418,,
南山駕雲殿,,"Batu 5, Jalan Kluang, Johor, 83000 Batu Pahat, Johor",Johor,A060,1.8675685,102.9746399,,
