name_zh,name_en,region,address,state,old,a,b,c,d,e,f,g,h,latitude,longitude,UID,no_img
班达马兰咸水芭莲安宫,Lian Ann Kong,巴生,"Leboh Raja Lumu, Kawasan 12, 42000 Port Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.9999994,101.4059547,,
班达马兰一区关顺宫,Guan Shun Gong,巴生,"Lot 8452, Jalan Sekinchan, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0046881,101.4102057,,
班达马兰一区尾张公坛,Tiew Kong Tuah,巴生,"TBG1010, Jalan Papan, Pandamaran, 42000 Pelabuhan Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0069777,101.4164369,,
班达马兰玉皇庙,Giok Hong Temple,巴生,"11652, Jalan Pendamar, Kampung Baru, Pandamaran, 42000 Pelabuhan Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0119688,101.4165474,,
班达马兰再也二路尾关庆宫,Kwan Kheng Keng,巴生,"Jalan Sijangkang, Pandamaran Jaya, 42000 Port Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.00322,101.42583,,
船头拿督公新宫,,巴生,"Jalan Harper, Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0533893,101.4430529,,
达摩祖师庙,,巴生,"Jalan Tok Muda, Pulau Ketam, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3.019284,101.2451801,,
福进宫,Hock Chin Kong,巴生,"5310, Jalan Kopi, Pandamaran, 42000 Port Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0134086,101.4231791,,
福龙宫,Hock Leng Keng,巴生,"Rumah Berhala Hock Leng Keng, Pulau Ketam, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0334114,101.2467116,,
港口班达马兰师公坛,,巴生,"201, Lorong Polis, Kawasan 12, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0100014,101.4134243,,
关庆宫,,巴生,"Jalan Sijangkang, Pandamaran Jaya, Port Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0108692,101.4208187,,
观合宫,,巴生,"Kawasan 12, 42000 Port Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.00212,101.4116051,,
观灵宫,,巴生,"NO.11652, Jln Banting Pandamaran, Kawasan 12, 42000 Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.9923914,101.4204023,,
观南宫,Guan Nan Gong,巴生,"H316, Jalan Batu Arang, Pandamaran, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0012632,101.4145761,,
观天宫,Kuan Tien Keng,巴生,"Jalan Kemanis, Kawasan Tiga, Pandamaran N/V, 42000 Port Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0126326,101.4180338,,
广福宫,,巴生,"Jln Banting Pandamaran, Port Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.9972512,101.4202791,,
