,District_Code,Name_EN,old,a,b,c,d,e,f,g,h,UID,no_img,Name_ZH,Address,District_EN,District_ZH,Main_Diety,Founding_Date,Steele,Plaque,latitude,longitude,old_2,State
27,,Giok Hong Temple,False,False,False,True,True,False,False,False,False,,,班达马兰玉皇庙,"11652, Jalan Pendamar, Kampung Baru, Pandamaran, 42000 Pelabuhan Klang, Selangor.",,巴生,,,,,3.0119688,101.4165474,,Perlis
28,,Kwan Kheng Keng,False,False,False,True,False,False,False,False,False,,,班达马兰再也二路尾关庆宫,"Jalan Sijangkang, Pandamaran Jaya, 42000 Port Klang, Selangor",,巴生,,,,,3.00322,101.42583,,Perlis
29,,,False,False,False,True,True,False,False,False,False,,,船头拿督公新宫,"Jalan Harper, Klang, Selangor.",,巴生,,,,,3.0533893,101.4430529,,Perlis
30,,,False,False,False,False,False,False,True,False,False,,,达摩祖师庙,"Jalan Tok Muda, Pulau Ketam, Selangor",,巴生,,,,,3.019284,101.2451801,,Perlis
31,,Hock Chin Kong,False,False,False,True,True,False,False,False,False,,,福进宫,"5310, Jalan Kopi, Pandamaran, 42000 Port Klang, Selangor",,巴生,,,,,3.0134086,101.4231791,,Perlis
32,,Hock Leng Keng,False,False,False,True,False,False,False,False,False,,,福龙宫,"Rumah Berhala Hock Leng Keng, Pulau Ketam, Selangor.",,巴生,,,,,3.0334114,101.2467116,,Perlis
33,,,False,False,False,True,False,False,False,False,False,,,港口班达马兰师公坛,"201, Lorong Polis, Kawasan 12, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,3.0100014,101.4134243,,Perlis
34,,,False,False,False,False,True,False,False,False,False,,,关庆宫,"Jalan Sijangkang, Pandamaran Jaya, Port Klang, Selangor.",,巴生,,,,,3.0108692,101.4208187,,Perlis
35,,,False,False,False,True,True,False,False,False,False,,,观合宫,"Kawasan 12, 42000 Port Klang, Selangor",,巴生,,,,,3.00212,101.4116051,,Perlis
36,,,False,False,False,True,True,False,False,False,False,,,观灵宫,"NO.11652, Jln Banting Pandamaran, Kawasan 12, 42000 Klang, Selangor",,巴生,,,,,2.9923914,101.4204023,,Perlis
37,,Guan Nan Gong,False,False,False,True,True,False,False,False,False,,,观南宫,"H316, Jalan Batu Arang, Pandamaran, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,3.0012632,101.4145761,,Perlis
38,,Kuan Tien Keng,False,False,False,True,False,False,False,False,False,,,观天宫,"Jalan Kemanis, Kawasan Tiga, Pandamaran N/V, 42000 Port Klang, Selangor.",,巴生,,,,,3.0126326,101.4180338,,Perlis
39,,,False,False,False,True,True,False,False,False,False,,,广福宫,"Jln Banting Pandamaran, Port Klang, Selangor",,巴生,,,,,2.9972512,101.4202791,,Perlis
40,,Chee Sian Tong,False,False,False,True,False,False,False,False,False,,,济仙洞关帝宫,"731, Jalan Timur, Pulau Ketam, Selangor.",,巴生,,,,,3.1033168,101.6480692,,Perlis
41,,Buddha Lotus,False,False,False,True,True,False,False,False,False,,,莲花清人寺,"1488, Jalan Mesra, Pandamaran, 42000 Port Klang, Selangor",,巴生,,,,,3.0123549,101.4241133,,Perlis
42,,Lian Fu Miao,False,False,False,True,False,False,False,False,False,,,联福庙、联福宫,"Jalan Banting Pandamaran, 42000 Port Klang, Selangor",,巴生,,,,,2.9972512,101.4202791,,Perlis
43,,Dato Neo-Neo Temple,False,False,False,True,False,False,False,False,False,,,拿督娘娘宫,"390, Sungai Dalam, Pulau Ketam, Selangor.",,巴生,,,,,3.0334114,101.2467116,,Perlis
44,,Nan Hai Guan Yin Ting,False,False,False,True,False,False,False,False,False,,,南海观音亭,"Bagan Teochew, Pulau Ketam, Selangor.",,巴生,,,,,3.0195539,101.2452358,,Perlis
45,,Nan Thian Keng,False,False,False,True,False,False,False,False,False,,,南天宫,"C/O 661, Jalan Tokong, Pulau Ketam, Selangor.",,巴生,,,,,3.0334114,101.2467116,,Perlis
46,,See Leng Keng,False,False,False,True,True,False,False,False,False,,,泗灵宫,"317, Lorong Amarasegara, Pandamaran, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,3.007494,101.4140916,,Perlis
47,,Sam Tai Chu Temple ,False,False,False,True,True,False,False,False,False,,,孙福宫,"Jalan Cengal, Kawasan 12, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,3.0049172,101.4140508,,Perlis
48,,Xian Fa Shi Gong,False,False,False,True,False,False,False,False,False,,,太上老君仙法师公古庙,"290, Sungai Seberang, Pulau Ketam, 42940 Port Klang, Selangor.",,巴生,,,,,3.0334114,101.2467116,,Perlis
49,,,False,False,False,True,True,False,False,False,False,,,天恩道堂（真空教）,"51A, Jalan Raya Timur, Kawasan 1, 41000 Klang, Selangor",,巴生,,,,,3.0397009,101.4525561,,Perlis
50,,,False,False,False,True,True,False,False,False,False,,,靔宝宫,"Jalan Sijangkang, Pandamaran Jaya, 42000 Port Klang, Selangor",,巴生,,,,,3.00322,101.42583,,Perlis
51,,Thian Siew Keng,False,False,False,True,False,False,False,False,False,,,靔寿宫,"Jalan Sijangkang, Pandamaran Jaya, 42000 Port Klang, Selangor.",,巴生,,,,,3.00322,101.42583,,Perlis
52,,Hiap Tian Kiong,False,False,False,True,False,False,False,False,False,,,协天宫,"Lot H811A, Pulau Ketam, Port Klang, Selangor.",,巴生,,,,,3.0119296,101.3207828,,Perlis
53,,Yin Ying Kong,False,False,False,True,False,False,False,False,False,,,阴应宫,"Lot H-150, Sungai Dalam, Pulau Ketam, Selangor.",,巴生,,,,,3.0334114,101.2467116,,Perlis
54,,Chow Eng Chee,False,False,False,False,False,False,True,False,False,,,昭应祠,"Jalan Bagan Hailam, Kawasan Perindustrian Selat Klang Utara, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,3.0049996,101.3860505,,Perlis
55,,Chiau Eng Bio Thiam Houh Kong,False,False,False,True,False,False,False,False,False,,,昭应庙天后宫,"29K, Main Street, 42940 Pulau Ketam, Selangor.",,巴生,,,,,3.0119296,101.3207828,,Perlis
56,,Klang Buddha Lotus Ci Shan Yuan,False,False,False,True,False,False,False,False,False,,,吧生莲花清人寺佛祖慈善院,"91, Lot No. 7884, Jalan Kemanis, Pandamaran, 42000 Port Klang, Selangor",,巴生,,,,,3.0061576,101.4091408,,Perlis
57,,,False,False,False,False,True,False,False,False,False,,,法灵宫,"No.17, Jalan Aur Kawasan 4, Taman Aur, 42000 Port Klang",,巴生,,,,,3.005177,101.396595,,Perlis
58,,,False,False,False,False,True,False,False,False,False,,,法门寺,"22, Jalan Jasmin 3, Bandar Botanik, 41200 Klang, Selangor",,巴生,,,,,2.9871457,101.4430506,,Perlis
59,,,False,False,False,False,True,False,False,False,False,,,福成宫,"Pelabuhan Selatan, 42000 Port Klang, Selangor",,巴生,,,,,2.996201,101.3969869,,Perlis
60,,,False,False,False,False,True,False,False,False,False,,,福德正神宫,"Jalan Sungai Putus, Kampung Batu Belah, 41050 Klang, Selangor",,巴生,,,,,3.0698271,101.4375974,,Perlis
61,,,False,False,False,False,True,False,False,False,False,,,观宝宫,"1903，jalan young , Pandamaran,42000 pelabuhan klang 42000 Port Klang, Selangor",,巴生,,,,,3.0082701,101.420874,,Perlis
62,,,False,False,False,False,True,False,False,False,False,,,观世庙,"Jalan Young, Kampung Sijangkang, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,3.0091596,101.4208727,,Perlis
63,,,False,False,False,False,True,False,False,False,False,,,合莲坛,"Car Park space under High Pressure Cable, Taman Eng Ann, 41050 Klang, Selangor",,巴生,,,,,3.0576901,101.4570102,,Perlis
64,,Pulau Ketam Hiap Tian Kiong,False,False,False,True,False,False,False,False,False,,,吉胆过港区協天宫,"Lot H811A, Pulau Ketam, 42940 Port Klang, Selangor.",,巴生,,,,,3.0334114,101.2467116,,Perlis
65,,,False,False,False,False,True,False,False,False,False,,,莲花宫,"26, Jalan Bendahara 38, Taman Sri Indah, 41200 Klang, Selangor",,巴生,,,,,3.0109517,101.4763712,,Perlis
66,,,False,False,False,False,True,False,False,False,False,,,莲忠宫,"No. 28, Jalan Bungor, Kawasan 13, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,2.9851487,101.4379325,,Perlis
67,,,False,False,False,False,True,False,False,False,False,,,南天门孫福宮,"Jalan Cengal, Kawasan 12, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,3.0049172,101.4140508,,Perlis
68,,,False,False,False,False,True,False,False,False,False,,,普光兰若,"20, Lorong Kulur, Kampung Raja Uda, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,3.0047894,101.4014097,,Perlis
69,,,False,False,False,False,True,False,False,False,False,,,师公坛,"201, Lorong Polis, Kawasan 12, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,3.0100014,101.4134243,,Perlis
70,,,False,False,False,False,True,False,False,False,False,,,天赐宫,"Jl. Hort, Kampung Raja Uda, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,3.0082554,101.4025644,,Perlis
71,,,False,False,False,False,True,False,False,False,False,,,靝寿宫,"Jalan Sijangkang, Pandamaran Jaya, Port Klang, Selangor.",,巴生,,,,,3.0108692,101.4208187,,Perlis
72,,Persatuan Pengurusan Tokong Dewa Choo Hin Sze Pelabuhan Klang Selangor,False,False,False,False,True,False,False,False,False,,,珠兴祠,"21, Jalan Melaka, Kawasan 13, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,3.0028683,101.401367,,Perlis
73,,Sze Hoon Hock Teck Qi,False,False,False,False,True,False,False,False,False,,,紫云福德祠,"TBG 961, Jalan Emas 41000 Klang, Selangor, Malaysia",,巴生,,,,,3.045983,101.440121,,Perlis
74,,Put Poh King,False,False,False,True,False,False,False,False,False,,,八宝宫,"39, Jalan Jelutong KU8, Pekan Meru Satu, Klang, Selangor.",,巴生,,,,,3.135949,101.4412193,,Perlis
75,,Qin Liang Temple,False,True,False,True,True,False,False,False,False,,,巴生港口清凉亭,"Kampung Kastam, 42000 Port Klang, Selangor",,巴生,,,,,3.0114599,101.4062378,,Perlis
76,,Tian Hock Kung,False,True,False,True,False,False,False,False,False,,,巴生港口天福宫,"Lot 3115 & 3116, Jalan Siakap, Jln Tepi Sungai, Taman Teluk Pulai, 41100 Klang, Selangor",,巴生,,,,,3.0502602,101.4275294,,Perlis
77,,Tiam Yam Toh Teng,False,False,False,True,True,False,False,False,False,,,巴生港口天缘道堂（真空教）,"No.24,Jalan Cox, Di-Jalan Solok Baru, 41400 Klang, Selangor Darul Ehsan.",,巴生,,,,,3.0462005,101.4508627,,Perlis
78,,Klang Siah Tian Kong,False,False,False,True,False,False,False,False,False,,,巴生加埔路二支協天宫,"Lot 208, B-13, Batu Belah, 41050 Klang, Selangor.",,巴生,,,,,3.0821569,101.4332002,,Perlis
79,,Klang Tian Leng Gong,False,False,False,True,False,False,False,False,False,,,巴生加埔路九支天灵宫,"Lot 344, Jalan Kapar, Batu 9 1/4, Kampung Perepat, 42200 Kapar, Selangor.",,巴生,,,,,3.1004393,101.368729,,Perlis
80,,Klang Heng Hua Foo,False,False,False,True,False,False,False,False,False,,,巴生加埔十一支兴化府,"N0 32, Lorong Kiyai Sujak 20D, Taman Sri Wangi, 42200 Kapar, Selangor.",,巴生,,,,,3.134417,101.3642953,,Perlis
81,,Nan Yoong Keong Klang,False,False,False,True,False,False,False,False,False,,,巴生峇都勿拉南阳宫,"15, Lot 219, Kampung Batu Belah, 41050 Klang, Selangor.",,巴生,,,,,3.0744202,101.4353344,,Perlis
82,,Bai Yin Gong,False,False,False,True,False,False,False,False,False,,,白音宫,"35, Lorong Batu Nilam 6D, Bandar Bukit Tinggi, 42100 Klang, Selangor.",,巴生,,,,,3.0053925,101.4375746,,Perlis
83,,Chuan Tou Dato,False,False,False,True,False,False,False,False,False,,,船头哪督,"Jalan Harper, 41400 Klang, Selangor",,巴生,,,,,3.0532459,101.4421938,,Perlis
84,,Nan Shan Dong Wei Ling Gong,False,False,False,True,False,False,False,False,False,,,二支南山洞威灵宫,"37, Lorong Mersing, Jalan Kapar, 41400 Klang, Selangor",,巴生,,,,,3.0684522,101.4339704,,Perlis
85,,Hong Sun Si,False,True,False,True,False,False,False,False,False,,,凤山寺,"Lot 35544, Lorong Sentosa 3, Taman Chi Liung, Pandamaran, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,3.0137707,101.4276375,,Perlis
86,,Wan Ling Keng,False,False,False,True,True,False,False,False,False,,,佛喃码万灵宫、万灵宫,"Lot 295 Jalan Kem, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,2.9913695,101.4028783,,Perlis
87,,Fu De Tan,False,False,False,True,False,False,False,False,False,,,福德坛,"Lot 11094, Batu 3 1/2, (Kedai 3) Kampung Jawa, 41000 Klang, Selangor.",,巴生,,,,,3.0498225,101.455149,,Perlis
