庙宇（名）,庙宇（英文）,地址,马来西亚华文铭刻萃编-傅吾康,马来西亚华团总名册,一庙一路网站,《走进巴生庙宇》,NUS,马校 RA,马来西亚神庙文化（已不存在）,福建会馆出版物,州
（瓜拉冷岳）天福宫,Tanjung Karang Thian Hock Temple,"128, Jalan Besar, 45500 Tanjung Karang, Selangor",,,7，2，10,,,2,,,雪兰莪
（瓜拉冷岳）铜锣庙,,,,,,,,2,,,雪兰莪
（瓜拉冷岳）万寿宫,,,,,1，10,,,2,,,雪兰莪
（瓜拉冷岳）雪兰莪仁嘉隆显威灵,Jenjarom Xian Wei Ling,"614, Jalan 23, Sungai Jarum, 42600 Jenjarom, Kuala Langat, Selangor",,,1，7，10,,,2,,,雪兰莪
（瓜拉冷岳）阴府坛,,,,,1，10,,,2,,,雪兰莪
（瓜拉冷岳）中元公会,,,,,1,,,1,,,雪兰莪
（瓜拉冷岳）忠义庙,Banting Chong Yi Temple,"Lot 343, Jalan Marmar 11, Taman Delima, 42700 Banting, Selangor",,,1，7，10,,,2,,,雪兰莪
（瓜拉冷岳縣）Siamese Temple,Siamese Temple,,,,,,,2,,,雪兰莪
（瓜拉冷岳縣）风火院,Fong Huo Yuan,,,,"1,10",,,2,,,雪兰莪
（瓜拉冷岳縣）福圣宫,Hock Seng Geng,"16, Jalan Cendana 36, Taman Muhibbah, 42700 Banting, Selangor.",,,1，7，10,,,2,,,雪兰莪
（瓜拉冷岳縣）金经达摩祖师古庙,,,,,1,,,2,,,雪兰莪
（瓜拉冷岳縣）九龙堂,Jiu Long Tang,,,,1，10,,,2,,,雪兰莪
（瓜拉冷岳縣）峇东巴西顺天宫,Shun Tian Gong,,,,1，10,,,2,,,雪兰莪
（瓜拉冷岳縣）坑口庙,,,,,,,,2,,,雪兰莪
（瓜拉冷岳縣）莲花宫,Lian Hua Gong,,,,1，10,,,2,,,雪兰莪
（瓜拉冷岳縣）联军庙,Lian Jun Temple,,,,1，10,,,1，2,,,雪兰莪
（瓜拉冷岳縣）琉璃山药师佛寺,,,,,,,,2,,,雪兰莪
（瓜拉冷岳縣）龙仙宫,,,,,1，10,,,2,,,雪兰莪
（瓜拉冷岳縣）摩立白马老师宫,Pak Mah Law See Kong,,,,1，7，10,,,2,,,雪兰莪
（瓜拉冷岳縣）摩立慈航堂,Cheh Ang Tong,,,,1，7，10,,,2,,,雪兰莪
（瓜拉冷岳縣）清兰宫,Qing Lan Gong,"5, Batu Laut, 42700 Banting, Selangor",,,1，7，10,,,2,,,雪兰莪
（瓜拉冷岳縣）清龙宫,Cheng Leng Keng,"Jalan Pelangi 1, Taman Pelangi, 42800 Tanjung Sepat, Selangor",,,1，7，10,,,2,,,雪兰莪
（瓜拉冷岳縣）三官庙,Sam Kuan Temple,,,,1，7，10,,,2,,,雪兰莪
（瓜拉冷岳縣）顺平宫,Tanjung Sepat Shun Tian Gong,"Jalan Pasar, Kawasan Tambahan Tanjung Sepat, 42800 Tanjung Sepat, Selangor",,,1，7，10,,,2,,,雪兰莪
（瓜拉冷岳縣）顺天宫,Tanjung Sepat Shun Ping Gong,"Kampung Batu Untung, 42800 Tanjong Sepat, Selangor",,,1，7，10,,,2,,,雪兰莪
（瓜拉冷岳縣）太阳庙,,,,,,,,2,,,雪兰莪
