庙宇（名）,庙宇（英文）,地址,马来西亚华文铭刻萃编-傅吾康,马来西亚华团总名册,一庙一路网站,《走进巴生庙宇》,NUS,马校 RA,马来西亚神庙文化（已不存在）,福建会馆出版物,州
（雪邦） 洛伽亭水尾圣娘庙,,,,,,,,1，2,,,雪兰莪
（雪邦） 青龙宫,,,,,,,,1，2,,,雪兰莪
（雪邦） 圣灵宫,,,,,,,,1，2,,,雪兰莪
（雪邦） 顺天宫,,,,,,,,1，2,,,雪兰莪
（雪邦） 天湖宫,,,,,10,,,1，2,,,雪兰莪
（雪邦） 天龙宫,,,,,,,,1，2,,,雪兰莪
（雪邦） 旺相堂,,,,,,,,1，2,,,雪兰莪
（雪邦） 玄天宫,,,,,,,,1，2,,,雪兰莪
（雪邦） 玄武宫,,,,,,,,1，2,,,雪兰莪
（雪邦）三一教,,,,,,,,1,,,雪兰莪
（北海）地藏庵,Dizang an,"Kampung Bagan Jermal, 12300 Butterworth, Penang",9,,,,,,,,槟城
（北海）广德宫,Guang De Gong Temple,"25, Bandar Perai Permatang Pauh,13500 Pulau Pinang, Pulau Pinang",8，9,,,,,,,,槟城
（北海）靈應社,Lingying she,"2227, 14, Jalan Raja Uda, Telok Air Tawar, 12300 Butterworth, Pulau Pinang",9,,,,,,,,槟城
（北海）天福宫,Tianfu gong,"Jalan Pantai Bersih, 13000 Butterworth, Pulau Pinang",9,,,,,,,,槟城
（槟城龙凤宫）鳳山寺,Fengshan si,"165-B, Jelutong Barat, Pulau Pinang.",9,,,,,,,,槟城
（槟岛）慈濟宫,Choo Chay Keong,"No 7, Armenian Street, Penang.",8，9,,,,,,,,槟城
（槟岛）大生佛堂,Dasheng fotang,,8，9,,,,,,,,槟城
（槟岛）海珠嶼大伯公廟,Tanjong Tokong Thai Pak Koong Temple,"336, Jalan Tokong Thai Pak Koong, Tanjung Tokong, 11200 Tanjung Bungah, Pulau Pinang",8，9,,,,,,,,槟城
（槟岛）胡靖古廟,Hujing gumiao,"41, Lebuh Muntri, George Town, 10450 George Town, Pulau Pinang",9,,,,,,,,槟城
（槟岛）清觀寺,Cheng Kon Sze Temple,"Jln TM Bukit Penara, Pulau Pinang",8，9,,,,,,,,槟城
（槟岛）邱氏宗祠龍山堂,Qiushi zongci longshantang,"18, Cannon Square, George Town, 10450 George Town, Pulau Pinang",9,,,,,,,,槟城
（槟岛）伍氏家廟,Wushi jiamiao,"40, Lebuh King, George Town, 10200 George Town, Pulau Pinang",9,,,,,,,,槟城
（槟岛）謝氏家塚,Xieshi jiazhong,,9,,,,,,,,槟城
（槟岛峇六拜）青雲巖（槟城蛇庙）,Snake Temple,"Jalan Sultan Azlan Shah, Bayan Lepas Industrial Park, 11900 Bayan Lepas, Pulau Pinang",8，9,,,,,,,,槟城
（槟岛蓮花閣）觀音寺,Guanyin si (lianhua ge),"296 B, West Jelutong, Penang.",9,,,,,,,,槟城
（槟岛乔治市）寶譽堂,Baoyu tang,"251, Jalan Burma, George Town, 10350 George Town, Pulau Pinang",8，9,,,,,,,,槟城
（槟岛乔治市）城隍廟,Seng Hong Beow Temple,"77-2-13, Jalan S.P.Chelliah, 10150 George Town, Pulau Pinang",8，9,,,,,,,,槟城
（槟岛乔治市）大伯公福德祠,Thai Pak Koong Temple,"32A, Lebuh King, Penang.",8，9,,,,,,,,槟城
（槟岛乔治市）大圓佛堂,Ta Yuen Foh Thang Temple,"212B, Jalan Macalister, 10300 Pulau Pinang, 10450 George Town, Pulau Pinang",8，9,,,,,,,,槟城
（槟岛乔治市）福壽宫,,"228A, Jalan Burma, Pulau Tikus, 10350 George Town, Pulau Pinang",8，9,,,,,,,,槟城
（槟岛乔治市）广福宫(廣福宮/觀音亭),Kuan Im Teng,"30, Jalan Masjid Kapitan Keling, George Town, 10200 George Town, Pulau Pinang",8，9,,,,,,,,槟城
（槟岛乔治市）開山王廟,Kai San Ong Temple,"265, Jalan Madrasah, Jelutong Timur, Pulau Pinang, Jalan Sultan Azlan Shah, 11600 George Town, Pulau Pinang",8，9,,,,,,,,槟城
（槟岛乔治市）劉關張趙廟,Koo Siang Wooi Koon Penang,"67, Lebuh King, George Town, 10200 George Town, Pulau Pinang",8，9,,,,,,,,槟城
（槟岛乔治市）六桂堂,Liuguitang,"45, Jalan Westlands, George Town, 10400 George Town, Pulau Pinang",9,,,,,,,,槟城
（槟岛乔治市）魯班古廟,Penang Loo Pun Hong,"70, Love Lane Georgetown, Penang.",8，9,,,,,,,,槟城
（槟岛乔治市）清龍宫,Qin Long Gong Temple,"Next 670-A, Jelutong Road, Penang.",8，9,,,,,,,,槟城
（槟岛乔治市）水美宫,Shuimei gong,"74, Jalan Bagan Jermal, 10470 Pulau Pinang, 10470 George Town, Pulau Pinang",9,,,,,,,,槟城
（槟岛亚依淡）極樂寺,Kek Lok Si Temple,"Kek Lok Si Temple, 11500 Air Itam, Penang",8，9,,,,,,,,槟城
（槟岛亚依淡）天公壇,Tien Kong Than Temple,"Thean Kong Thnuan Chinese Temple, Hill Raiway, Jalan Pokok Cherry, Penang.",8，9,,,,,,,,槟城
（大山脚）聖古廟,Shenggu miao,,9,,,,,,,,槟城
（大山脚伯公埕）伯公廟,Bogong miao,"Jalan Pasar, 14000 Bukit Mertajam, Pulau Pinang",9,,,,,,,,槟城
（高淵）福德祠,Fude ci,"Jalan Atas, Nibong Tebal, Seberang Perai Selatan, Penang.",9,,,,,,,,槟城
雷方邝宗祠溯源堂,,"1, Jalan Masjid, 10200 Pulau Pinang.",,,,,,,,7,槟城
梁氏家庙,,"65, Jalan Perak, 10150 Penang.",,,,,,,,7,槟城
（安順）福順宮,Fu shun gong,,9,,,,,,,,霹雳
（安順）廣東古廟,Guangdong gumiao,,9,,,,,,,,霹雳
（巴眼色海）聖古庙,Bagan Serai Shenggu Miao,"Jalan Besar, Kampung Alor Senggut, 34300 Bagan Serai, Perak",8，9,,,,,,,,霹雳
（邦咯島）昭應祠,Zhaoying ci,,8，9,,,,,,,,霹雳
（北沙叻）觀音廟,Guanyin miao,,9,,,,,,,,霹雳
（淡汶）何仙姑廟,Hexiangu miao,,9,,,,,,,,霹雳
（瓜拉江沙）昭惠廟,Chiau Hooi Chinese Temple,"37A, Jalan Taiping, 33000 Kuala Kangsar, Perak",8，9,,,,,,,,霹雳
（金寶）金寶古廟,Kampar Temple,"Kampung Masjid, 31900 Kampar, Perak",8，9,,,,,,,,霹雳
（太平）大善佛堂,Dashan fotang,,9,,,,,,,,霹雳
（太平）鳳山寺,Fengshan si,"Kampung Bengali, 34000 Taiping, Perak",9,,,,,,,,霹雳
（太平）福德祠,Fude ci,,9,,,,,,,,霹雳
（太平）檺林宮,Gaolin gong,"53, Jalan Raja Sulung Hulu, Taiping, Perak.",9,,,,,,,,霹雳
（太平）古武廟,Guwumiao,,9,,,,,,,,霹雳
（太平）何仙姑廟,Hexiangu miao,,9,,,,,,,,霹雳
（太平）和善堂,Heshan tang,,9,,,,,,,,霹雳
（太平）嶺南古廟,Lingnan gumiao,,9,,,,,,,,霹雳
（太平）明山佛堂,Mingshan fotang,,9,,,,,,,,霹雳
（太平）新港三王爷 - 粤东古庙,Sam Wong Yah Temple,,8，9,,,,,,,,霹雳
（太平马登） 绥靖伯庙,Taiping Matang Sui Jing Bo Miao,"Jalan Titi Kertang, Kampung Pekan Matang, 34750 Matang, Perak",8，9,,,,,,,,霹雳
（怡保）垻羅（大伯公）古廟,Paloh Koo Miu,"89-91, Jalan Bijeh Timah, 30000 Ipoh, Perak",8，9,,,,,,,,霹雳
（怡保）水月宫（观音庙）,Shui Yue Gong Temple,"3, Jalan Sultan Idris Shah, Kampong Jawa, 30000 Ipoh, Perak",8，9,,,,,,,,霹雳
（吉隆坡）大覺華寺,Da juehua si,"Jalan Senjolong, Taman Pertama, 55300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",9,,,,,,,,吉隆坡
（吉隆坡）登彼岸,Dharma Realm Guan Yin Sagely Monastery,"Jalan Ampang, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",8，9,,,,,,,,吉隆坡
（吉隆坡）觀音堂 [紫雲洞],Guanyin Tang,,9,,,,,,,,吉隆坡
（吉隆坡）觀音亭,Kuan Yin Temple,,8，9,,,,,,,,吉隆坡
（吉隆坡）積善堂,Jishan tang,,9,,,,,,,,吉隆坡
（吉隆坡）雷王廟,Leiwang miao,,9,,,,,,,,吉隆坡
（吉隆坡）蓮花庵,Lianhua an,,9,,,,,,,,吉隆坡
（吉隆坡）蓮林,Lianlin,,9,,,,,,,,吉隆坡
（吉隆坡）霖田祖廟,Lintian zumiao,,9,,,,,,,,吉隆坡
（吉隆坡）彌陀巖,Mituo yan,,9,,,,,,,,吉隆坡
（吉隆坡）明法堂,Mingfa tang,,9,,,,,,,,吉隆坡
（吉隆坡）南天宫,Nan Tian Chinese Temple,,8，9,,,,,,,,吉隆坡
（吉隆坡）七寶禪寺 [慈雲山],Qibao chansi,"Wilayah Persekutuan Kuala Lumpur, Kuala Lumpur, Jalan Sungai Besi, Batu",9,,,,,,,,吉隆坡
（吉隆坡）千佛寺,Qianfo si,"Chin Foot Sze Temple, Jalan Kerayong, Wilayah Persekutuan50460 Kuala Lumpur, Federal Territory of Kuala Lumpur",9,,,,,,,,吉隆坡
（吉隆坡）譚公仙聖廟,Tangong xiansheng miao,"Lot 9416, Jalan Jambu Berasa 2, Jinjang Selatan, Kuala Lumpur.",9,,,,,,,,吉隆坡
（吉隆坡）譚公仙師廟,Tangong xianshi miao,,9,,,,,,,,吉隆坡
（吉隆坡）天后宮,Thean Hou Temple,"65, Persiaran Endah, Taman Persiaran Desa, 50460 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",8，9,,,,,,,,吉隆坡
（吉隆坡）仙四師爺宮,Xian sishiye gong,"113A, Jalan Tun H S Lee, City Centre, 50050 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",9,,,,,,,,吉隆坡
（吉隆坡）中马六桂堂,Central Malaysia Liu Kwee Tang Clansmen,"124- C, Jalan Imbi 55100 Kuala Lumpur.",,,,,,,,5,吉隆坡
（吉隆坡）鍾呂仙師廟,Zhong Lv xianshi miao,,9,,,,,,,,吉隆坡
吉隆坡黄老仙师慈忠庙,,,,,,,,,,5,吉隆坡
（马六甲怡力）勇全殿,Ong Kah Yong Temple,"195, Jalan Parameswara, Bandar Hilir, Melaka.",8，9,,,,,,,,马六甲
保安宫,Poh Onn Kong Temple,"152, Jalan Bunga Raya, Melaka.",8，9,,,,,,,,马六甲
寶山亭,Sam Po Keng Temple,"Jalan Puteri Hang Li Poh, Bukit Cina, 75100 Melaka",8，9,,,,,,,,马六甲
大伯公祠,Dabogong ci,"41, Jalan Tukang Besi, 75200 Melaka",9,,,,,,,,马六甲
觀音堂,Kwan Yin Tang Temple,"133, Jalan Hang Jebat, 75200 Melaka",8，9,,,,,,,,马六甲
廣福宫,Guangfu gong,"1, Lorong Masjid, Melaka.",8，9,,,,,,,,马六甲
廣福寺,Guangfu si,,9,,,,,,,,马六甲
和勝宫,Hesheng gong,,9,,,,,,,,马六甲
湖海殿,Huhai dian,"13, Jalan Kampung Pantai, 75200 Melaka",8，9,,,,,,,,马六甲
華德宫,Huade gong,"4, Kampung Tiga Off, Jalan Portugis, Melaka.",8，9,,,,,,,,马六甲
靈山亭,Lingshan ting,,8，9,,,,,,,,马六甲
青雲亭,Cheng Hoon Teng Temple,"25, Jalan Tokong, Kampung Dua, 75200 Melaka",8，9,,,,,,,,马六甲
清華宫,Qinghua gong,"Km 5,Kandang,75460 Melaka.",9,,,,,,,,马六甲
清華宫 [朱府王爺],Cheng Wah Keong Temple,,8,,,,,,,,马六甲
三寶山,Bukit Cina,"Jalan Puteri Hang Li Poh, Bukit Cina, 75100 Melaka",8，9,,,,,,,,马六甲
三多廟,Melaka San Duo Temple,"41, Jalan Tukang Besi, 75200 Melaka",8，9,,,,,,,,马六甲
天德宫,Tiande gong,"118, Jalan Hang Jebat, 75200 Melaka",8，9,,,,,,,,马六甲
玉虚宫,Geok Hu Keng,"2½, 75200, Malacca",8，9,,,,,,,,马六甲
（芙蓉）千古廟 [仙四师爷],Qiangu miao,"Batu ½, Jalan Rasah, 70300 Seremban, Negeri Sembilan.",9,,,,,,,,森美兰
（芙蓉）譚公仙聖廟,Tangong xiansheng miao,"41, Jalan Kapitan Tam Yeong, Taman Sim, 70000 Seremban, Negeri Sembilan",9,,,,,,,,森美兰
（芙蓉）天公五老觀,Tiangong wulao guan,,9,,,,,,,,森美兰
（芙蓉）天师爺宮,Tian shiye miao,"Bukit Jung, Jalan Temiang, Seremban, Negeri Sembilan.",9,,,,,,,,森美兰
（芙蓉）紫竹（竺）亭,Zizhu ting,"2562, Jln Tun Dr. Ismail, Seremban, 70200 Seremban, Negeri Sembilan",9,,,,,,,,森美兰
（瓜拉比朥）牌坊,,,9,,,,,,,,森美兰
（瓜拉比朥）三聖宫,San Sheng Gong Chinese Temple,"Taman Pilah Jaya, 72000 Kuala Pilah, Negeri Sembilan",8，9,,,,,,,,森美兰
（巴株峇哈）普陀寺,Putuo si,,9,,,,,,,,柔佛
（笨珍）大伯公宫,Dabogong gong,,9,,,,,,,,柔佛
（豐順港）福顺廟,Fushun miao,"Jalan Jemaluang, Mersing Kechil, 86800 Mersing, Johor",9,,,,,,,,柔佛
（哥打丁宜）天后宫,Tianhou gong,"Jalan Bypass Kota Tinggi, Kota Tinggi, Johor.",9,,,,,,z`,,柔佛
（麻坡）新觀音堂,Xin guanyin tang,,9,,,,,,,,柔佛
（昔加末）慈光亭,Ciguang ting,"1, Jalan Genuang, Kampung Abdullah, 85000 Segamat, Johor",9,,,,,,,,柔佛
（新山）柔佛古廟,Johor Old Chinese Temple,,8，9,,,,,,,,柔佛
（新文龍）靈福宫,Lingfu gong,"Jalan Kampung Sungai Ayam Laut, 83200 Senggarang, Johor",9,,,,,,,,柔佛
（北根）伯公廟,Bogongmiao,,9,,,,,,,,彭亨
（淡馬魯）天后宫,Tianhou gong,"No 67,Kampung Baru,28000 Temerloh,Pahang.",9,,,,,,,,彭亨
（都赖路）觀音堂,Guanyin Tang,"8, Taman Raub Jaya 6/1, Taman Raub Jaya 6, 27600 Raub, Pahang",9,,,,,,,,彭亨
（關丹）地母廟,Dimu miao,,9,,,,,,,,彭亨
（關丹）廣福廟,Guangfu miao,"Jalan Bukit Setongkol, Kampung Jalan Corry, 25200 Kuantan, Pahang",9,,,,,,,,彭亨
（關丹）瓊州 [公] 廟,Qiongzhou （gong）miao,,9,,,,,,,,彭亨
（立卑）天后宫,Thean Hou Temple (1898),"65，Persiaran Endah, Taman Persiaran Desa,50460 Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur",8，9,,,,,,,,彭亨
（彭亨）古城堂,,"P3, Tingkat 2 Taman Dahlia Ketari,28700 Bentong, Pahang.",,,,,,,,5,彭亨
（文冬）廣福廟,Guangfu miao,"6, Jalan Loke Yew, 28700 Bentong, Pahang",9,,,,,,,,彭亨
（巴東色海）慶興廟,Qingxing miao,"30, 176, Kampung Pering, 06100 Kodiang, Kedah",9,,,,,,,,吉打
（浮羅交怡）啅公宫,Zhuogong gong,,9,,,,,,,,吉打
（吉打居林）廣福宫,Guangfu gong,"292, Jalan Market, Kulim, Kedah.",9,,,,,,,,吉打
（雙溪大年）福德祠,Fudeci,,9,,,,,,,,吉打
（亞羅士打）觀音亭,Guanyin ting,,9,,,,8,,,,吉打
（亞羅士打）廣福宫,Guangfu gong,"Pekan Simpang Kuala, Alor Star, Kedah.",9,,,,,,,,吉打
（亞羅士打）藍啅公廟,Lanzhuo gong miao,,9,,,,,,,,吉打
（哥打峇汝）聖春宮 [赤脚妈祖庙],Shengchun gong,"Kampung Tokong, 16450 Ketereh, Kelantan",9,,,,,,,,吉兰丹
（哥打峇汝）鎭興宮 [吉蘭丹唐人坡],Zhenxing gong,"Jalan Kampung Cina, Bandar Kota Bharu, 15300 Kota Bharu, Kelantan",9,,,,,,,,吉兰丹
