Name,Notes,Address,State,UID
邊佳蘭 / 泰山宮 ,,"J52, Kampung Penggerang, 81600 Pengerang, Johor",Johor,A065
觀音寺,,Kampung Sungai Buntu ,Johor,A066
釜山宮 ,,,Johor,A067
鳳山宮 ,,"Ma-Zu Temple , 345 , jalan Kurau 1, Kampung Sungai Rengit, 81600 Bandar Penawar",Johor,A068
沈氏族廟 ,,"Unnam Road, Kempung Sungai Rengi , 81600 Bandar Penawar",Johor,A069
夫人媽廟 ,,"Kempung Sungai Rengit , 81600 Pengerang, Johor",Johor,A070
寶安宮 – 四位王府廟,,"Jalan Kerisi, Kempung Sungai REngit , 81600 Pengerang , Johor ",Johor,A071
法主宮 ,,"Kampung sungait Rengit ,81620 Pengerang johor.",Johor,A072
五灣新鳳鳳山廟 ,,"Teluk Ramunia, 81600 Bandar penawar, Johor ",Johor,A073
8間廟 ,,"8 Chinnese Temple Village , 81900 bandar penawar ",Johor,A074
譚公廟TamKungTemple,,"35-59, Lorong 3, Taman Senai Utama, 81400 Senai, Johor ",Johor,A075
洪仙大帝廟,,"106, Jalan Seelong 5, Kampung Baru Seelong, 81400, Senai, JB ",Johor,A076
柔佛士乃濟公壇 ,,"No : LOT 6157, JALAN DASA, TAMAN DASA, 81400, SENAI, JOHOR.",Johor,A077
士乃 觀音廟 Senai Guan Yin Ting,,"No : Lot 6157, Jalan Dasa, Taman Dasa, 81400 Senai, Johor ",Johor,A078
三清玉皇大帝,,"No : 8, Jalan Saleng, Kampung Baru Saleng, 81400 Senai",Johor,A079
士乃三山国王庙 ,,,Johor,A080
士乃大伯公 ,,"Taman Dasa, 81400 Senai, Johor ",Johor,A081
八寶廟 大伯公,,"Taman Ehsan Jaya, Tebrau, Johor",Johor,A082
蓮花宮 – 大，二，三爺伯 ,,"39, Jln EJ 5/1, Ehsan Jaya, Tebrau, Johor",Johor,A083
新山儒家慈規堂,,"Jln Danau 1, Tmn Desa Jaya, Tebrau, Johor",Johor,A084
福德正神 ,華人寺廟,"Jalan Taban, Tebrau, Johor",Johor,A085
三鳳宮 ,,"157, Jln Harimau, 世紀花園, Tebrau, Johor",Johor,A086
萬佛如,住家泰國廟,"Jalan Taban, Tebrau, Johor",Johor,A087
列光鎮北斗宮,,"2, Jalan Ara 22, Taman Desa Cemerlang, 81800 Ulu Tiram, Johor ",Johor,A088
天賜萬天官泰國廟,,"11, Jalan Lembing 6, Taman Puteri Wangsa, 81800 Ulu Tiram, Johor ",Johor,A089
山頂五鳳廟,,"22, Jalan Lembing 8, Taman Puteri Wangsa, 81800 Ulu Tiram, Johor ",Johor,A090
法輪精社,一真法界的分行,"1, Jalan Jenawi 13, Taman Puteri Wangsa, 81800 Ulu Tiram, Johor ",Johor,A091
星君廟,,"33 Jalan Beladau 11 Taman Puteri Wangsa, Malaysia, Ulu Tiram Village, 81800 Johor ",Johor,A092
地南阿彌陀佛蓮社 ,,"同排還有鳳山寺，聖法堂和基督公會  106 & 108, Jalan Intan, Taman Ros, 81800 Ulu Tiram, Johor ",Johor,A093
地南奧林菩提佛教會 ,,"Taman Tiram Jaya, 81800 Ulu Tiram, Johor ",Johor,A094
萬孚天後宮,,"52, J102, Kampung Baru Ban Foo, 81800 Ulu Tiram, Johor ",Johor,A095
萬孚協天宮,,"Kampung Baru Ban Foo, Johor, 81800 Ulu Tiram  ",Johor,A096
法雨禪寺FA YI TEMPLE ,,"Lot 380 Batu 13/4, Jalan Sungai Tiram ",Johor,A097
柔佛雙溪地南古廟 ,,"Batu, 20, Jalan Sungai Tiram, 81800 Ulu Tiram, Johor",Johor,A098
淨業精舍 pure Karma Temple ,,"Taman Peindustrian Cemerlang , 81800 Ulu Tiram",Johor,A099
萬仙廟  ,," Jalan Anggerik 1, Taman Kulai Utama, 81000 Kulai, Johor",Johor,A100
法主庙 昆崙洞 ,,"525, Jalan Serunai 10, Taman Pancasila, 81400 Kulai, Johor ",Johor,A101
沙令古來区法灵壇洪仙大帝 ,,"245, Jalan Serunai 4, Taman Saleng, 81400 Senai, Johor ",Johor,A102
沙冷光明寺,店屋樓上沒有開門,,Johor,A103
古来沙岭诸葛孔明仙師八卦牌,店屋樓上，很多人去求財,,Johor,A104
五显宫 华光大帝,," 13, Jalan Saleng 10, Taman Saleng Indah, 81400 Kulai, Johor",Johor,A105
花菓宮 • 大聖佛祖 ,,"Jalan Jambu 28, Taman Muhibbah, 81400 Kulai, Johor",Johor,A106
古來真空祖師道堂 ,,,Johor,A107
古来沙岭新村關帝亭 ,,,Johor,A108
玉皇協天大帝 ,,"Johor, Kulai, Jalan Sekolah Cina  81000 ",Johor,A109
善莲堂（观音堂）,,,Johor,A110
真佛宗 敬佛堂 ,,"6035, Jalan Persiaran Indahpura 3, Bandar Indahpura, 81000 Kulai, Johor ",Johor,A111
龍巖廟 （ 太上老君 ） ,,,Johor,A112
雲山宮 / 南海慈航宫,," Lorong 2, Kulai ",Johor,A113
柔佛州道教協會 ,,"No :15，Jalan Indah 3, Taman Sawit Indah, 81000 Kulai, Johor ",Johor,A114
新山噶瑪噶舉佛教會,是一間藏傳佛堂,"19, Jalan Molek 3/19, Taman Molek, 81100 Johor Bahru, Johor ",Johor,A115
中元天帝宮ChineseTemple,,"15, Jalan Bakawali 48, Johor Jaya, 81100 Johor Bahru, Johor ",Johor,A116
三合宮ChineseTemple,,"Jalan Dedap 30, Johor Jaya, 81100 Johor Bahru, Johor ",Johor,A117
天公壇 Taoist Temple,,"Taman Johor Jaya, 81100 Johor Bahru, Johor ",Johor,A118
福林园济圣宫,,"Jalan Sagu 35, Taman Daya, 81100 Johor Bahru, Johor",Johor,A119
阿依淡大伯公Tokong Air Hitam,," Jalan Parit Haji Adnan, 82100 Ayer Baloi, Johor",Johor,A120
善才爷Nam Thien Temple ,,"Jalan Dato Koh Thian Peng, Parit Unas, Johor, 84150 Muar",Johor,A121
仙公山,,"Parit Bakar, 84200 Muar, Johor",Johor,A122
巴口真人宫,,"Jalan Muar, 84200 Bukit Bakri, Johor",Johor,A123
白凤仙师宫,,"84200 Bukit Bakri, Johor",Johor,A124
天安堂•准提菩萨,,"Taman Bakri Indah, 84200 Bukit Bakri, Johor",Johor,A125
廻龍舘,此庙建于1946年，有74年历史,"Johor, Bukit Bakri, Jalan Muar, No 14 邮政编码: 84200 ",Johor,A126
白马老师公庙,,"Jln Padang, Bukit Bakri, 84200 Bukit Bakri, Johor",Johor,A127
吧口晋程廟,,"395, Jln Lempoyang, Taman Bukit Bakri, 84200 Bukit Bakri, Johor",Johor,A128
飞来洞 ,建于 1955 年,"24, Kampung Kenangan Dato Abdullah Jaafar, 84200 Bukit Bakri, Johor",Johor,A129
麻坡慧海净宗学会,," No.5 Jalan Dato' Haji Kosai 3, Taman Dato' Haji Kosai, Jalan Bakri,",Johor,A130
麻坡天亭堂白衣娘娘,,"Jalan Indah 13, Taman Indah, Johor, 84000 Muar town",Johor,A131
麻坡玉封玉龙宫,,"Taman Sakeh Baru, 84000 Muar, Johor",Johor,A132
麻坡新奇珍宴会所,,"68, Jalan Sungai Abong, Taman Sakeh Baru, 84000 Muar, Johor",Johor,A133
麻坡佛教净业寺,,"Jalan Sulaiman, Kampung Dato Bentara Dalam, 84000 Muar, Johor",Johor,A134
修德善堂,,"No. 40, Jalan Sultan Ibrahim, Pekan Muar, 84000 Muar, Johor",Johor,A135
中水宫 Zhong Shui Gong,,"Kampung Dato Bentara Luar, 84000, Muar, Johor.",Johor,A136
金龍寺 Kim Leng Tze ,,"2700, 5, Kampung Sabak Aur, 84000 Muar, Johor",Johor,A137
慈云精舍-一(真法界公行),,"Jalan Sekolah, Bukit Bakri, 84250, Bukit Bakri, Johor",Johor,A138
麻坡天亭堂白衣娘娘,,"Jalan Indah 13, Taman Indah, Johor, 84000 Muar town",Johor,A139
麻坡玉封玉龙宫,,"Taman Sakeh Baru, 84000 Muar, Johor",Johor,A140
吧口福音堂 - 吧口福音堂,,"Kampung Kenangan Dato Abdullah Jaafar, 84200 Bukit Bakri, Johor",Johor,A141
麻屬班萃善寶宮 ,,,Johor,A142
玉皇上帝廟,,,Johor,A143
玉皇高上帝廟,,,Johor,A144
城隍殿 ,,,Johor,A145
柔佛州麻坡班卒靈安殿麻坡河,,,Johor,A146
玉檺林宮 ,,"218, Jalan Poh Ai, 84700 Gerisek, Johor",Johor,A147
聖姑廟,,"Bukit Gambir, 84700 Bukit Gambir, Johor",Johor,A148
天雲寺 / 永春烏鬚觀音 ,,"84700, Jln Sengkang, 84700 Gerisek, Johor",Johor,A149
侯爺符 / 天波楊門,,"Jalan Sengkang, 84700 Gerisek, Johor",Johor,A150
比亞南佛寺 ,,"Tangkak, Unnamed Road, Kampung Tanjong Batu 15, 84900 Tangkak Joh",Johor,A151
東甲龍福堂(LongFu Temple),,"Jln Sialang, Kampung Tanjung Batu, 84900 Tangkak, Johor",Johor,A152
福泉宫善财爷张公圣君庙,,"15, Jalan Sentosa 2, Taman Sentosa, 84900 Tangkak, Johor",Johor,A153
大老爷(聖靈宫),此庙有 48 年历史,"Taman Sentosa, 84900 Tangkak, Johor",Johor,A154
茧云宫,此廟有 124 年曆史/ 三聖宮," Jalan Padang Lalang, Kampung Padang Lalang, 84900 Tangkak, Johor",Johor,A155
武吉港脚天后宫,,"Kampung Parit Pelampong, 84300 Sungai Mati, Johor",Johor,A156
實廊南海觀音廟,,"Jln Serom 4 Hilir, 84400 Sungai Mati, Johor",Johor,A157
古灵殿,此廟建於 1967 年,"Jalan Paip, Kampung Pantai Layang, 84400 Sungai Mati, Johor",Johor,A158
麻坡南海飞来观音菩萨,,"104, Jalan Maharani, Taman Sri Emas, 84000 Muar, Johor",Johor,A159
麻坡粤东古庙,,"84000, Johor",Johor,A160
麻坡天春堂,此廟 80 多年,"32, Jalan Bakri, 84000 Muar, Johor",Johor,A161
Ching San Miao Temple 青山庙,,"107, Jalan Ismail, Sabak Awor, 84000 Muar, Johor",Johor,A162
黄老仙师慈天宫,,"84000 Muar, Johor",Johor,A163
麻坡大悲林,,"Taman Muar, 84000 Muar, Johor",Johor,A164
新加望城隍庙,,"Taman Desa, 84000 Muar, Johor",Johor,A165
 欽巡池府王爺-大人公崎頭館,,"Jalan Ong Siong, 84900 Tangkak, Johor.",Johor,A166
 天惠觀音堂,,"Jalan Abdul Rahman, Taman Khalidi Baru, 84000, Muar, Johor.",Johor,A167
保零殿 ,,"Pagoh, 84600 Pagoh, Johor",Johor,A168
巴莪南天庙,,"Pagoh, 84600 Pagoh, Johor",Johor,A169
麻坡巴莪老港圣明庙,,"Kampung Paya Pagoh, 84600 Pagoh, Johor ",Johor,A170
圣君殿 ,,"Taman Sri Pagoh, 84600 Pagoh, Johor",Johor,A171
巴莪南天庙,,"Pagoh, 84600 Pagoh, Johor",Johor,A172
飛來洞,,"Jalan Balai Raya, Taman Bukit Pasir, 84300 Bukit Pasir, Johor",Johor,A173
头条福寿宫老庙,（ 70年 老廟 ）1946 年建立 ,"84300 Bukit Pasir, Johor ",Johor,A174
顺平官,,"3, Jln Kemuning 6, Taman Bukit Pasir, 84300 Bukit Pasir, Johor",Johor,A175
玄順殿,,"JJ13/, ,Block B, 4, Jalan Tepi 1, 84300 Bukit Pasir, Johor",Johor,A176
古樹宮,,,Johor,A177
禅清殿,,"Unnamed Road, 84000, 84000, Johor",Johor,A178
慧觉殿,,"Temple of Ji Gong 183, Jln Merah 8, 84000 Muar, Johor",Johor,A179
龍山嚴,,"Jalan Temenggong Ahmad, Taman Parit Bakar Indah, Johor, 84010 Muar ",Johor,A180
翠美古庙,,"Chinese Temple, 84150 Parit Jawa, Johor",Johor,A181
清水祖師,,"Chinese Temple, 84150 Parit Jawa, Johor",Johor,A182
"一真法界 Yap Chan Fatt Kai Temple,",,"No192 , Jalan Tapah, Skudai.",Johor,A183
鬼谷仙師,,"Kampung Ungku Mohsin Jalan Tampoi, Johor ",Johor,A184
樂符宮 ,,"Jalan Riang 22, Taman Gembira ",Johor,A185
洪仙宮 ,," B85, Jalan Indah 5/14, Taman Bukit indah, 81200 Johor Bahru ",Johor,A186
水尾聖娘,62年歷史 / 皇后黃梨場第一間廟,"Jalan Tun Teja, Skudai, 81300 Johor Bahru",Johor,A187
福德廟,,"120, Jalan Seri Orkid 15, Taman Seri Orkid, 81300 Skudai, Johor ",Johor,A188
天樂宮神廟 ,,"Taman Selesa Jaya, 81300 Skudai, Johor ",Johor,A189
大學城關帝廟 Guan Ti Temple Taman U ,,"PTD ： 62501, Jalan Kejayaan 8, Taman Universiti, 81300 Skudai ",Johor,A190
二郎神廟 ,,"Jalan Kebangsaan 29, Taman Universiti, 81300 Skudai",Johor,A191
鰲峰宮， 保生大帝 ,,"Taman Sutera Utama , 81300 Skudai, Johor ",Johor,A192
拿督公廟 ,,"Jalan Tun Teja, Skudai 81300 Johor Bahru",Johor,A193
洪仙大帝 ,,"60-55 , Jalan Tun Teja, Skudai 81300 Johor Bahru",Johor,A194
皇后八里半乾坤宮仙師公，鬼谷子先師廟 ,,,Johor,A195
三山國王廟 ,,"46, Jalan Jambu, Kampung Melayu, Kangkar Pulai, 81100 , Johor ",Johor,A196
皇后花园法主公宫,,"Jalan Bentara 9, Taman Ungku Tun Aminah, 81300 Skudai, Johor ",Johor,A197
士古来玉旨敕封三教中佛殿,,"29, Jalan Impian Emas 22, Taman Impian Emas, 81300 Skudai, Johor",Johor,A198
圆观堂,,"54, Jalan Ronggeng 19, Taman Nesa, 81300 Skudai, Johor.",Johor,A199
武天宫 Wu Tian Gong,,"4, Jalan Ceria 19, Taman Nusa Indah, 81200 Johor Bahru, Johor",Johor,A200
慈濟 Buddhist Tzu Chi Foundation Malaysia (Johor Bahru),,"3, Jalan Jaguh 1, Taman Harmoni 2, 81300 Skudai, Johor ",Johor,A201
Buddhist Tzu Chi Foundation Malaysia (Johor Bahru) 慈濟,," 3, Jalan Jaguh 1, Taman Harmoni 2, 81300 Skudai, Johor",Johor,A202
武天宫,,"4, Jalan Ceria 19, Taman Nusa Indah, 81200 Johor Bahru, Johor",Johor,A203
弥陀之家东林寺,,"No 18, Jalan Pertama 4, Pusat Perdagangan Danga Utama,",Johor,A204
圆观堂,,"54, Jalan Ronggeng 19, Taman Nesa, 81300 Skudai, Johor ",Johor,A205
